Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,8965006,-,-,-,-23.54,-46.65,0,770,-3,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.1.2.dev4+g3b38bc8.d20250228
Year,Month,Day,Hour,Minute,DHI,GHI,DNI,Wind Speed,,,1259.5,1566.5,531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,2,17,0,490,579,99,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,2,18,0,375,489,147,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,2,19,0,206,212,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,2,20,0,66,66,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,2,21,0,95,98,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,2,22,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,2,23,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,3,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,3,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,3,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,3,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,3,4,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,3,5,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,3,6,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,3,7,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,3,8,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,3,9,0,40,40,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,3,10,0,151,260,324,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,3,11,0,284,398,211,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,3,12,0,311,563,349,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,3,13,0,389,394,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,3,14,0,555,754,207,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,3,15,0,184,1058,875,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,3,16,0,388,876,497,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,3,17,0,410,445,38,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,3,18,0,176,177,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,3,19,0,105,105,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,3,20,0,8,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,3,21,0,4,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,3,22,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,3,23,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,4,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,4,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,4,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,4,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,4,4,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,4,5,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,4,6,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,4,7,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,4,8,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,4,9,0,35,35,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,4,10,0,193,214,64,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,4,11,0,91,535,822,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,4,12,0,114,750,882,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,4,13,0,382,386,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,4,14,0,489,526,39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,4,15,0,541,729,187,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,4,16,0,512,884,379,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,4,17,0,498,642,160,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,4,18,0,435,637,258,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,4,19,0,290,305,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,4,20,0,66,66,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,4,21,0,77,77,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,4,22,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,4,23,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,5,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,5,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,5,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,5,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,5,4,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,5,5,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,5,6,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,5,7,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,5,8,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,5,9,0,38,74,319,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,5,10,0,76,294,658,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,5,11,0,88,535,830,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,5,12,0,96,755,915,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,5,13,0,436,474,44,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,5,14,0,462,478,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,5,15,0,120,1093,973,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,5,16,0,121,1070,967,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,5,17,0,503,759,281,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,5,18,0,450,603,195,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,5,19,0,106,616,830,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,5,20,0,85,385,722,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,5,21,0,56,151,480,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,5,22,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,5,23,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,6,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,6,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,6,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,6,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,6,4,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,6,5,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,6,6,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,6,7,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,6,8,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,6,9,0,37,74,335,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,6,10,0,125,126,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,6,11,0,248,258,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,6,12,0,410,561,209,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
